,vari,deli,field,beta0,beta1,R2
1474,fu,1403,volume,0.12720974677496416,-0.013437649307214524,0.000180570418903514
1475,fu,1403,oi,0.017391304347825577,0.9913043478260876,0.9833739130434782
1476,fu,1404,settle,41.949401583357,0.9896243042563379,0.9772617951641527
1477,fu,1404,volume,0.5894838584960371,0.10831239126232359,0.011731574100963149
1478,fu,1404,oi,0.09472947339897028,0.9814718634269712,0.9651963131851954
1479,fu,1405,settle,41.95579585628229,0.9893244918924544,0.9710191248379514
1480,fu,1405,volume,0.6127879030094658,0.18519410698741354,0.03429685726286591
1481,fu,1405,oi,0.2397237419004387,0.9410157917200166,0.8722774726122623
1482,fu,1406,settle,46.974321475464194,0.988603743066908,0.9733324243016044
1483,fu,1406,volume,0.1315383296175613,0.3929000171497171,0.15437042347624774
1484,fu,1406,oi,0.06385542168674667,0.9524096385542176,0.9082056989379758
1485,fu,1407,settle,120.61963496297341,0.9724259432787083,0.9521305750582677
1486,fu,1407,volume,0.3744465783887597,0.0715253209339937,0.005115871534710936
1487,fu,1407,oi,0.04137523396709701,0.9102305191606734,0.8285195980115099
1488,fu,1408,settle,19.727150039989567,0.9935095678622908,0.9650888159479807
1489,fu,1408,volume,0.38191339890151993,0.10764465448971773,0.011587371640211064
1490,fu,1408,oi,0.12332923530858404,0.9814777477255967,0.9632985692805092
1491,fu,1409,settle,-42.769211256170536,1.0079608993815061,0.9781509316068859
1492,fu,1409,volume,2.461597640723171,0.0662905500705219,0.004394437028652387
1493,fu,1409,oi,0.17171742401265533,0.9811945073831573,0.9654584132201395
1494,fu,1410,settle,-14.355669384765292,1.0015706855045399,0.9889573467528222
1495,fu,1410,volume,0.11357586512866016,0.1339840283939662,0.01795171986467481
1496,fu,1410,oi,0.011476613064655989,0.9674384466537667,0.9359371480638528
1497,fu,1411,settle,-17.123363885985555,1.0021653222984044,0.9900113227114178
1498,fu,1411,volume,0.5450061652281133,0.3481298808055897,0.1211944139097143
1499,fu,1411,oi,0.2578268094758682,0.9502371392874909,0.9042956950507475
1500,fu,1412,settle,7.966024003574901,0.9955754237018867,0.9947784942740167
1501,fu,1412,volume,0.09828438499563824,0.08141901715615012,0.006629056354673257
1502,fu,1412,oi,0.01087734363818476,0.9884070416487771,0.9769484799808859
1503,fu,1501,settle,27.68996602737562,0.9913690996088624,0.9887398090153895
1504,fu,1501,volume,0.9547492750548126,0.012886342739939159,0.00016605782921130796
1505,fu,1501,oi,0.0847374447897935,1.0021811440100334,0.9870771414109201
1506,fu,1503,settle,48.14676850599136,0.9854603117123037,0.9843760663556717
1507,fu,1503,volume,1.094970004614674,0.24720812182741098,0.06111185549743625
1508,fu,1503,oi,0.11047082480262337,0.9824810356472902,0.9652689854065717
1509,fu,1504,settle,16.228516751637613,0.9939986317651003,0.9865001168357511
1510,fu,1504,volume,0.33537447008949595,0.15108337258596327,0.022826185471949145
1511,fu,1504,oi,0.03494932348095255,0.9575365719706427,0.9168762866612896
1512,fu,1505,settle,33.88463982051388,0.988891438210049,0.9840003793568232
1513,fu,1505,volume,5.326431813579171,0.014974938584673917,0.00022424878561455586
1514,fu,1505,oi,0.5494152232960299,0.98207466443865,0.9644706465322872
1515,fu,1506,settle,147.76486683326897,0.9553673005616921,0.9534506688012092
1516,fu,1506,volume,5.146156187629927,0.7035286975831974,0.49495262832311027
1517,fu,1506,oi,0.48014016922948155,0.9955778175002314,0.9915549369910983
1518,fu,1507,settle,135.30557781060722,0.9586326896132993,0.9361516021343937
1519,fu,1507,volume,0.2609800516708315,0.18360086400406597,0.033709277263039406
1520,fu,1507,oi,0.0455552040493524,0.9710534640936402,0.9429448301282606
1521,fu,1508,settle,41.79785003555526,0.9849513247102433,0.9419552004098999
1522,fu,1508,volume,0.5890656823426392,0.015534065125999611,0.00024130717933901202
1523,fu,1508,oi,0.048163664719733795,0.9898015351212499,0.9760135625720551
1524,fu,1509,settle,-36.41726525047088,1.0099522344050191,0.9793444520695131
1525,fu,1509,volume,3.390522017735921,0.49738255657657804,0.24758229787054375
1526,fu,1509,oi,0.3412292612589142,0.9931980512741543,0.9905130761690846
1527,fu,1510,settle,30.847038842776133,0.9888252300564206,0.9738774434756446
1528,fu,1510,volume,0.6918788602230623,0.7570425389679134,0.5731134058069838
1529,fu,1510,oi,0.200198063756039,0.9745334403332941,0.9392273580949814
1530,fu,1511,settle,20.156123800701977,0.9918643986685829,0.9788194353141834
1531,fu,1511,volume,0.2759697370001203,-0.01188903566710701,0.00014134916909414041
1532,fu,1511,oi,0.03448275862068971,0.9386409736308317,0.8810468773786356
1533,fu,1512,settle,29.14942200171661,0.9885883375202253,0.9716041105721581
1534,fu,1512,volume,0.4119845671569807,0.2528936580660719,0.06395520229003904
1535,fu,1512,oi,0.09836259461732341,0.9760499894869646,0.9526735819775022
1536,fu,1601,settle,30.801881383535907,0.9875801799252515,0.9754456039141529
1537,fu,1601,volume,0.8947878097408143,0.20061236115066947,0.04024531944644605
1538,fu,1601,oi,0.24753064381768436,0.8746876115672972,0.7650784178293033
1539,fu,1603,settle,43.10114824026624,0.9816076972953879,0.9700282855260527
1540,fu,1603,volume,0.07523973444799609,-0.019916400295057785,0.0003966630007132821
1541,fu,1603,oi,0.008438818565400876,0.8529234478601565,0.7274784079096575
1542,fu,1604,settle,57.20839842122156,0.9767223405363521,0.9626823536092315
1543,fu,1604,volume,1.3261241777056871,0.42597098314859877,0.18145127848458364
1544,fu,1604,oi,0.2361415469523579,0.9428313448583721,0.8889309448474462
1545,fu,1605,settle,46.78132658129732,0.9808441595761326,0.9738330840813268
1546,fu,1605,volume,1.1856046262159836,0.33343887374032233,0.11118148252121451
1547,fu,1605,oi,0.28299436646615306,0.9149622839682995,0.8371559810844871
1548,fu,1606,settle,65.35707158482009,0.9705279227093789,0.9689327731381001
1549,fu,1606,volume,0.1476493633692459,-0.004835945151811967,2.3386365510913443e-05
