vari,deli,beta0,beta1,R2
bb,1708,0.03692173898090729,0.9371000831788053,0.881967405772705
bb,1709,0.017900074017833965,0.9718299550184529,0.9432894425303733
bb,1710,0.013877923612250754,0.9804522665756067,0.9664164740351634
bb,1711,0.017347520822944173,0.9776649368497382,0.9628603312628571
bb,1712,0.01943159558391897,0.9749011877522729,0.9560765394316911
bu,1402,0.048355578505514585,0.8358879381621918,0.7523045507989358
bu,1403,-0.006427682177802003,0.9949820228292777,0.9680154956475643
bu,1404,-0.00363629855509077,0.992236929956607,0.9677776985145965
bu,1405,0.00017719396496116693,0.9913753108308743,0.9635072373483377
bu,1406,3.5308747027949436e-05,0.9891922716774656,0.9816238246182929
bu,1407,0.01384005531473675,0.9628502295958505,0.9499947820078987
bu,1408,0.028806885871709067,0.9511971539074465,0.8827936821453741
bu,1409,0.010503251138439626,0.9676923270311119,0.9560294726296489
bu,1410,0.05574336660068903,0.8925121359830908,0.7727681897551594
bu,1411,0.02689461466678406,0.9515393931907573,0.8845758242039171
bu,1412,-0.016203437631168414,1.0172317814681224,0.9820163710430859
bu,1501,0.006300748877876034,0.9808247654344548,0.9646160200009117
bu,1502,0.004219569583664477,0.9839447984347648,0.9708579889410522
bu,1503,-0.007332094182227741,1.0062921215198126,0.9938350411918676
bu,1504,0.0008083289264019314,0.9781682786607903,0.9835048912833764
bu,1505,0.019762850169845046,0.9623464886790555,0.9337485372395435
bu,1506,-0.0035482107211343935,1.0017261983481784,0.9960255437396912
bu,1507,0.0007068173565578026,0.9917240614306896,0.9591078118729115
bu,1508,-0.009858336839263402,1.0090240051524342,0.9765870971566138
bu,1509,-0.002484407378378556,1.0008766927394674,0.9965233321867812
bu,1510,-0.0028511358797213195,0.9899805937558754,0.9910271402391573
bu,1511,0.0035951407121687226,0.9753563390745296,0.9819216224964374
bu,1512,-0.0036251261209125658,1.002606077559936,0.9968587584855358
bu,1601,-0.006016251634402274,0.9986945448368809,0.9877349192586452
bu,1602,-0.006375823888279052,0.9957834041417042,0.9871434190878468
bu,1603,-0.001956758001955584,0.999956977323965,0.9970546588318767
bu,1604,0.0028792832139427045,0.9737606420423923,0.9804877006717908
bu,1605,0.01939014897734431,0.923666390191229,0.9218117615333368
bu,1606,-0.0007423837060647797,0.9975341589459116,0.9969765344575097
bu,1607,0.04721070726460686,0.9125518232187088,0.8427321873369809
bu,1608,0.05871522631331736,0.8950751430081303,0.8231200847330359
bu,1609,-0.00028587941803661287,0.9958890091259907,0.9957887564644622
bu,1610,-0.011592440553585975,1.0089895953716685,0.9629172217270763
bu,1611,0.01092947692380211,0.9676729144658434,0.9472773021139753
bu,1612,0.00025479131481828026,0.9973485962953483,0.9953616585598233
bu,1701,0.0014149120601356872,1.0067005772299122,0.972640007802045
bu,1702,0.006898477215700702,0.9958978561255984,0.974192354548241
bu,1703,0.0010501977303507505,0.9939054587797114,0.9940042244129612
bu,1704,0.026326026734400536,0.9632206686173659,0.9620559120165244
bu,1705,0.03202009003741556,0.9493117421988813,0.9427699068181571
bu,1706,0.005364797949765736,0.9772806094633786,0.9810968493544473
bu,1707,0.0025254589588464132,0.9832113166694483,0.9614147857680565
bu,1708,0.008779053771745468,0.9685353334861475,0.9566768948920565
bu,1709,0.004423287471563057,0.9880476289931543,0.9774157476782083
bu,1710,0.00843148010238,0.9749169432819582,0.9242295552800345
bu,1711,0.02310907097417786,0.94299355994042,0.8759355495246954
bu,1712,0.005488030391849141,0.9882934987960401,0.9813754313768447
c,1401,-0.015409358986913688,1.0156898382797568,0.9831936845836231
c,1403,-0.009990698126103398,1.0088497632318703,0.9913973312446028
c,1405,0.015312235560745369,0.9597990794058263,0.9172701485579263
c,1407,0.03258374581067752,0.8882748880547027,0.8453072248955028
c,1409,0.0026114089685150372,1.008988512343312,0.9574099390652973
c,1411,0.009504808346280466,0.9735769936409158,0.926211530138769
c,1501,0.0061412073804425205,0.9870506540672008,0.9488635099025274
c,1503,0.03171420499070086,0.9510996412283856,0.8876993260856337
c,1505,0.021959155721752367,0.9598014784190143,0.9296195037296501
c,1507,0.0038139722644417325,0.990313485618767,0.9712699534578211
c,1509,0.00724268297183402,0.9875910153662306,0.9572337507335829
c,1511,-0.008645790262087371,1.0064167642946578,0.9923806266526599
c,1601,0.0019532295090451215,0.9929678421036485,0.9916400516400434
c,1603,0.0017789010438808341,0.9909871840725708,0.9922039840838602
c,1605,0.0027947506214636465,0.9832181749656099,0.9893193316357745
c,1607,0.007028428404422577,0.979740597529663,0.9813793694460776
c,1609,0.019286757864926694,0.9540424013399635,0.9254650238221583
